##BLOCKS= 5          																					
Plate:	UACC812 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	25.7																				
		0.0456	0.0636	0.0743	0.1699	0.2274	0.3668	0.4578	0.515	0.5388	0.6138	0.5152									
		0.0443	0.068	0.0681	0.1525	0.244	0.351	0.4499	0.4736	0.5661	0.5458	0.5839									
		0.0454	0.0769	0.0691	0.1371	0.2175	0.3524	0.4411	0.4744	0.4966	0.5348	0.5543									
		0.0472	0.2619	0.4282	0.4976	0.4905	0.4609	0.4973	0.4874	0.4915	0.5144	0.5033									
		0.0468	0.2675	0.4461	0.495	0.4805	0.4983	0.4723	0.4622	0.5259	0.4889	0.5583									
		0.0448	0.2445	0.4321	0.4501	0.4629	0.4646	0.5262	0.5103	0.512	0.495	0.4805									
																					
																					
~End																					
Plate:	SUM149PT nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	25.7																				
		0.0451	0.0495	0.0499	0.0516	0.0472	0.0492	0.0485	0.0485	0.0482	0.0495	0.0484									
		0.0438	0.07	0.0776	0.1293	0.156	0.2679	0.2979	0.5006	0.7379	1.0573	1.9444									
		0.0441	0.0645	0.1231	0.121	0.1727	0.2016	0.4899	0.5375	0.8229	0.7858	0.8677									
		0.0455	0.0966	0.1445	0.3176	0.5889	0.363	0.6503	0.7407	0.9415	1.1856	1.0678									
		0.0432	0.0865	0.1566	0.3228	0.6745	0.6177	0.7122	0.8375	0.7082	0.5678	1.3087									
		0.0444	0.0986	0.1833	0.3152	0.5646	0.6595	0.7099	0.7542	0.9044	1.0644	0.9713									
																					
																					
~End																					
Plate:	SUM159PT nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	25.7																				
		0.0451	0.0488	0.0494	0.0497	0.0512	0.05	0.0502	0.0512	0.0469	0.0474	0.0471									
		0.0451	0.0593	0.0725	0.1024	0.7143	1.9963	2.0277	2.0511	2.0353	2.013	1.9968									
		0.0425	0.0652	0.06	0.0899	0.6939	1.9833	2.0736	2.0145	2.1567	2.0332	2.0754									
		0.0457	0.2296	1.3827	1.8514	2.0245	2.0872	2.0571	2.1701	2.1556	2.0263	2.0514									
		0.0451	0.2595	1.5888	1.9443	2.0386	2.0542	2.0439	2.0917	1.9967	1.9776	2.0537									
		0.0444	0.281	1.4645	1.7939	1.9355	2.0613	2.0441	2.0461	2.0338	2.0299	1.9725									
																					
																					
~End																					
Plate:	HCC1569 nothing/OLA	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	570	1	11	96	2	6	None
	Temperature(ÁC)	1	2	3	4	5	6	7	8	9	10	11	12								
	25.7																				
		0.0479	0.0489	0.0493	0.0493	0.0521	0.0489	0.0518	0.0534	0.0494	0.0498	0.0501									
		0.0464	0.0788	0.0874	0.1888	0.196	0.3056	0.4347	0.4906	0.5177	0.5951	0.4447									
		0.0449	0.087	0.0833	0.2216	0.3094	0.4571	0.4916	0.5679	0.567	0.6732	0.6333									
		0.0447	0.3317	0.684	0.8506	0.8408	0.6884	0.6341	0.6262	0.6027	0.6243	0.6239									
		0.0459	0.395	0.7057	0.9776	0.8915	0.8324	0.7602	0.6851	0.6966	0.7044	0.6284									
		0.0455	0.4256	0.7259	0.92	0.8987	0.723	0.707	0.6032	0.5564	0.6302	0.6112									
																					
																					
~End																					
